sep_index,pp_index,cdaw_sep_id,timestamp,cdaw_start_time,cdaw_max_time,cdaw_evn_max,cme_id,cme_launch_time,cme_1st_app_time,lasco_cme_width,p_cme_width,lasco_linear_speed,p_cme_speed,fl_id,fl_start_time,fl_peak_time,fl_rise_time,fl_lon,fl_lat,fl_goes_class,noaa_ar,noaa_ar_uncertain,harpnum,noaa_pf10MeV,ppf_gt10MeV,ppf_gt30MeV,ppf_gt60MeV,ppf_gt100MeV,fluence_gt10MeV,fluence_gt30MeV,fluence_gt60MeV,fluence_gt100MeV,gsep_pf_gt10MeV,gsep_max_time,gsep_fluence_gt10MeV,m_type2_onset_time,dh_type2_onset_time,start_fr,noaa-sep_flag,Inst_category,Comments,Notes,Fe_e_p_shock_notes,gsep_notes,slice_start,slice_end,Flag
gsep_009,psep_020,,1987-11-08 07:50:00,,,,,,,,,,,,1987-11-07 20:28:00,1987-11-07 20:30:00,2,90,31,M1.2,4875,FALSE,,120,78.11,3.94,,,2450000,311000.0,,,41.0,1987-11-08 09:40:00,6569070,,,,1,P,,,,AR from LMSAL-HEK,1987-11-07 19:50:00,1987-11-08 18:55:00,1
gsep_010,psep_021,,1987-12-30 02:15:00,,,,,,,,,,,,1987-12-30 01:42:00,1987-12-30 01:49:00,7,-32,-36,C4.1,4912,FALSE,,,7.34,,,,587000,,,,2.55,1987-12-31 06:00:00,1836927,,,,0,P,,,,AR from LMSAL-HEK,1987-12-29 14:15:00,1988-01-01 00:00:00,0
gsep_011,psep_022,,1988-01-03 03:55:00,,,,,,,,,,,,1988-01-02 21:11:00,1988-01-02 21:35:00,24,18,-34,X1.4,4912,FALSE,,92,64.64,4.65,0.89,,6220000,566000.0,208000.0,,32.4,1988-01-03 07:30:00,32438533,,,,1,P,,Spike,,AR from LMSAL-HEK; Data corrected for spike,1988-01-02 15:55:00,1988-01-05 17:40:00,1
gsep_012,psep_023,,1988-03-25 22:50:00,,,,,,,,,,,,1988-03-25 21:41:00,1988-03-25 21:54:00,13,90,22,C4.5,,TRUE,,58,25.09,5.03,1.66,0.75,467000,163000.0,86000.0,49300.0,33.2,1988-03-25 23:10:00,3083825,,,,1,P,,Brief data gap,,No flare according to Kurt et al. (2004),1988-03-25 10:50:00,1988-03-26 04:00:00,1
gsep_013,psep_024,,1988-06-15 05:20:00,,,,,,,,,,,,1988-06-15 04:40:00,1988-06-15 04:52:00,12,59,-21,C3.3,5036,FALSE,,,4.48,,,,64700,,,,4.01,1988-06-15 07:10:00,396259,,,,0,P,,Brief data gap,,AR from LMSAL-HEK; Secondary GOES Fail,1988-06-14 17:20:00,1988-06-15 13:40:00,0
gsep_014,psep_025,,1988-06-30 11:25:00,,,,,,,,,,,,1988-06-30 09:04:00,1988-06-30 09:06:00,2,-22,-16,M9.2,5060,FALSE,,21,10.46,2.6,0.84,0.4,372000,111000.0,57800.0,33400.0,12.6,1988-06-30 11:35:00,3123993,,,,1,P,,,,AR & Flare location from Kurt et al. (2004); Secondary GOES Fail,1988-06-29 23:25:00,1988-07-01 01:50:00,1
gsep_015,psep_026,,1988-07-20 07:00:00,,,,,,,,,,,,1988-07-20 06:50:00,1988-07-20 07:10:00,20,,,C1.5,,TRUE,,,2.19,,,,133000,,,,1.27,1988-07-20 20:55:00,312678,,,,0,P,,,,Secondary GOES Fail; Flare location unavailable,1988-07-19 19:00:00,1988-07-21 07:00:00,0
gsep_016,psep_027,,1988-07-26 21:40:00,,,,,,,,,,,,1988-07-25 19:28:00,1988-07-25 20:07:00,39,-50,-27,M1.5,5084,FALSE,,,2.12,,,,194000,,,,1.13,1988-07-27 11:15:00,324684,,,,0,P,,,,AR from LMSAL-HEK; Secondary GOES Fail,1988-07-26 09:40:00,1988-07-27 18:40:00,0
gsep_017,psep_028,,1988-08-25 13:55:00,,,,,,,,,,,,1988-08-23 17:57:00,1988-08-23 18:00:00,3,-90,24,M2.4,,TRUE,,42,13.54,,,,1610000,,,,4.28,1988-08-26 00:50:00,650692,,,,1,S,,,,,1988-08-25 01:55:00,1988-08-26 02:55:00,0
gsep_017_1,,,1988-09-27 21:20:00,,,,,,,,,,,,1988-09-27 16:07:00,1988-09-27 16:16:00,9,-66,-28,M7.9,5171,FALSE,,,,,,,,,,,1.85,1988-09-28 11:10:00,299231,,,,0,S,,,,,1988-09-27 09:20:00,1988-09-28 15:00:00,0
gsep_017_2,,,1988-10-05 08:55:00,,,,,,,,,,,,1988-10-05 06:21:00,1988-10-05 06:32:00,11,38,-30,M3.3,5171,FALSE,,,,,,,,,,,3.33,1988-10-05 17:00:00,1074112,,,,0,P,,,,,1988-10-04 20:55:00,1988-10-06 01:00:00,0
gsep_018,psep_029,,1988-10-12 06:45:00,,,,,,,,,,,,1988-10-12 04:57:00,1988-10-12 05:02:00,5,66,-20,X2.5,5175,FALSE,,12,6.41,1.77,0.75,0.39,199000,70100.0,34900.0,19500.0,6.97,1988-10-12 10:45:00,1979622,,,,1,P,,Brief data gap,,AR from LMSAL-HEK,1988-10-11 18:45:00,1988-10-12 20:40:00,0
gsep_018_1,,,1988-10-13 22:00:00,,,,,,,,,,,,1988-10-13 20:30:00,1988-10-13 20:48:00,18,88,-20,M6.4,5175,FALSE,,,,,,,,,,,2.39,1988-10-14 06:10:00,828464,,,,0,P,,,,,1988-10-13 10:00:00,1988-10-14 14:40:00,0
gsep_019,psep_030,,1988-11-08 13:50:00,,,,,,,,,,,,1988-11-08 12:28:00,1988-11-08 12:48:00,20,7,16,C3.0,5218,FALSE,,13,6.7,2.38,1.13,0.57,698000,256000.0,129000.0,70800.0,7.23,1988-11-09 06:35:00,5853424,,,,1,P,,,,AR from LMSAL-HEK,1988-11-08 01:50:00,1988-11-09 23:50:00,0
gsep_020,,,1988-11-14 01:30:00,,,,,,,,,,,,1988-11-13 22:52:00,1988-11-13 23:09:00,17,27,-23,M3.2,5227,FALSE,,13,,,,,,,,,6.9,1988-11-14 02:35:00,552179,,,,1,P,,,,,1988-11-13 13:30:00,1988-11-14 04:00:00,0
gsep_020_1,,,1988-12-13 11:10:00,,,,,,,,,,,,1988-12-13 10:28:00,1988-12-13 10:30:00,2,40,20,C7.6,5265,FALSE,,,,,,,,,,,0.692,1988-12-13 13:45:00,204310,,,,0,P,,,,,1988-12-12 23:10:00,1988-12-14 09:50:00,0
gsep_021,psep_031,,1988-12-14 12:10:00,,,,,,,,,,,,1988-12-14 10:44:00,1988-12-14 10:46:00,2,-30,-16,C7.2,5273,FALSE,,,3.68,1.86,1.07,0.64,385000,198000.0,120000.0,71400.0,5.85,1988-12-15 02:40:00,2408692,,,,0,P,,,,AR from LMSAL-HEK,1988-12-14 00:10:00,1988-12-15 21:10:00,0
gsep_022,psep_032,,1988-12-16 09:40:00,,,,,,,,,,,,1988-12-16 08:38:00,1988-12-16 08:41:00,3,-37,26,X4.7,5278,FALSE,,29,12.39,2.44,1.44,0.86,1510000,474000.0,258000.0,147000.0,12.8,1988-12-18 01:50:00,14173023,,,,1,P,,,,Data corrected for spike,1988-12-15 21:40:00,1988-12-19 00:30:00,1
gsep_022_1,,,1988-12-27 08:55:00,,,,,,,,,,,,1988-12-27 05:30:00,1988-12-27 05:42:00,12,-17,-17,M1.3,5285,FALSE,,,,,,,,,,,2.0,1988-12-27 10:35:00,333620,,,,0,P,,,,,1988-12-26 20:55:00,1988-12-27 18:15:00,0
gsep_022_2,,,1988-12-29 00:45:00,,,,,,,,,,,,1988-12-28 23:42:00,1988-12-28 23:43:00,1,54,20,M3.6,5285,FALSE,,,,,,,,,,,1.66,1988-12-29 01:25:00,171063,,,,0,P,,,,,1988-12-28 12:45:00,1988-12-29 05:00:00,0
gsep_023,psep_033,,1989-01-04 21:15:00,,,,,,,,,,,,1989-01-04 16:03:00,1989-01-04 17:53:00,110,60,-20,M4.7,5303,FALSE,,28,10.43,,,,367000,,,,10.6,1989-01-05 01:30:00,1981665,,,,1,P,,Brief data gap,,AR from LMSAL-HEK,1989-01-04 09:15:00,1989-01-05 09:15:00,0
gsep_024,psep_034,,1989-03-08 17:55:00,,,,,,,,,,,,1989-03-06 13:54:00,1989-03-06 14:15:00,21,-69,35,X5,5395,FALSE,,,111.85,3.89,,,8230000,462000.0,,,138.0,1989-03-09 23:55:00,122153944,,,,0,P,,Brief data gap,,AR & Flare location from Kurt et al. (2004),1989-03-08 05:55:00,1989-03-10 22:00:00,1
gsep_025,psep_035,,1989-03-12 19:25:00,,,,,,,,,,,,1989-03-10 18:48:00,1989-03-10 18:50:00,2,-22,31,X4.5,5395,FALSE,,3500,3641.16,58.29,1.92,0.47,27900000,1100000.0,243000.0,112000.0,1500.0,1989-03-13 06:45:00,231808182,,,,1,P,GOES-07 data,Brief data gap,,AR & Flare location from Kurt et al. (2004),1989-03-12 07:25:00,1989-03-13 17:55:00,1
gsep_026,psep_036,,1989-03-17 19:00:00,,,,,,,,,,,,1989-03-17 17:29:00,1989-03-17 17:37:00,8,60,33,X6.5,5395,FALSE,,2000,896.12,46.16,2.11,,39800000,1480000.0,165000.0,,1250.0,1989-03-18 09:20:00,623533508,,,,1,P,Taken by 4,Brief data gap,,AR & Flare location from Kurt et al. (2004),1989-03-17 07:00:00,1989-03-19 12:20:00,1
gsep_027,psep_037,,1989-03-23 20:55:00,,,,,,,,,,,,1989-03-23 19:25:00,1989-03-23 19:37:00,12,28,18,X1.5,5409,FALSE,,53,23.27,4.71,1.09,0.4,725000,109000.0,40800.0,21000.0,29.7,1989-03-23 22:20:00,8482639,,,,1,P,,Brief data gap,,AR & Flare location from Kurt et al. (2004),1989-03-23 08:55:00,1989-03-24 08:30:00,1
gsep_027_1,,,1989-04-09 17:00:00,,,,,,,,,,,,1989-04-09 00:44:00,1989-04-09 00:59:00,15,35,-28,X3.5,5441,FALSE,,,,,,,,,,,4.23,1989-04-11 10:10:00,1619711,,,,0,P,,,,Flare data from LMSAL-HEK,1989-04-09 05:00:00,1989-04-11 11:00:00,0
gsep_028,psep_038,,1989-04-11 15:55:00,,,,,,,,,,,,1989-04-09 00:44:00,1989-04-09 00:59:00,15,-29,35,X3.5,5441,FALSE,,450,177.27,5.0,,,13900000,612000.0,,,218.0,1989-04-12 00:05:00,190260142,,,,1,P,,,,AR from LMSAL-HEK,1989-04-11 03:55:00,1989-04-15 01:00:00,1
gsep_028_1,,,1989-04-22 05:05:00,,,,,,,,,,,,1989-04-22 03:32:00,1989-04-22 03:34:00,2,12,38,M1.2,5451,FALSE,,,,,,,,,,,6.27,1989-04-23 10:15:00,3303755,,,,0,P,,,,Flare data from LMSAL-HEK,1989-04-21 17:05:00,1989-04-24 07:05:00,0
gsep_029,psep_039,,1989-05-02 16:50:00,,,,,,,,,,,,1989-05-02 16:04:00,1989-05-02 16:35:00,31,-38,27,M1.4,5470,FALSE,,,3.13,,,,364000,,,,3.01,1989-05-02 18:20:00,1807606,,,,0,P,,,,AR from LMSAL-HEK,1989-05-02 04:50:00,1989-05-03 16:50:00,0
gsep_030,psep_040,,1989-05-05 08:35:00,,,,,,,,,,,,1989-05-04 11:06:00,1989-05-04 11:31:00,25,36,-20,M5.4,5464,FALSE,,27,9.78,,,,349000,,,,9.66,1989-05-05 10:40:00,3412712,,,,1,P,,,,AR from LMSAL-HEK,1989-05-04 20:35:00,1989-05-05 20:15:00,0
gsep_031,psep_041,,1989-05-06 06:25:00,,,,,,,,,,,,1989-05-05 07:23:00,1989-05-05 07:39:00,16,-1,30,X2.4,5470,FALSE,,110,41.15,,,,987000,,,,47.3,1989-05-06 10:55:00,15033124,,,,1,P,,,,AR from LMSAL-HEK,1989-05-05 18:25:00,1989-05-06 22:20:00,1
gsep_032,psep_042,,1989-05-07 05:10:00,,,,,,,,,,,,1989-05-06 16:55:00,1989-05-06 17:02:00,7,-59,31,M4.2,5476,FALSE,,,18.29,,,,1390000,,,,17.5,1989-05-07 13:50:00,8889111,,,,0,P,Very complex ,,,AR from LMSAL-HEK; Data corrected for spike,1989-05-06 17:10:00,1989-05-08 03:20:00,1
gsep_032_1,,,1989-05-20 11:15:00,,,,,,,,,,,,1989-05-20 09:19:00,1989-05-20 09:24:00,5,-15,-21,C1.9,5497,FALSE,,,,,,,,,,,2.58,1989-05-20 21:30:00,1427970,,,,0,S,,,,Flare data from LMSAL-HEK,1989-05-19 23:15:00,1989-05-22 06:20:00,0
gsep_033,psep_043,,1989-05-22 18:30:00,,,,,,,,,,,,1989-05-22 00:02:00,1989-05-22 00:24:00,22,-16,-21,M5.7,5497,FALSE,,15,25.97,1.27,0.63,0.35,1940000,429000.0,228000.0,133000.0,10.9,1989-05-23 13:45:00,6533290,,,,1,S,,,,AR from LMSAL-HEK; Data corrected for spike,1989-05-22 06:30:00,1989-05-25 12:05:00,0
gsep_033_1,,,1989-06-14 11:10:00,,,,,,,,,,,,1989-06-13 13:26:00,1989-06-13 13:27:00,1,-17,20,M1.3,5528,FALSE,,,,,,,,,,,0.578,1989-06-15 16:00:00,176693,,,,0,P,,,,Flare data from LMSAL-HEK,1989-06-13 23:10:00,1989-06-15 22:20:00,0
gsep_034,psep_044,,1989-06-18 17:05:00,,,,,,,,,,,,1989-06-18 16:19:00,1989-06-18 16:22:00,3,57,15,C6.8,5528,FALSE,,18,9.24,2.78,0.92,0.39,265000,115000.0,61900.0,35200.0,10.8,1989-06-18 20:25:00,2254671,,,,1,P,,,,AR from LMSAL-HEK,1989-06-18 05:05:00,1989-06-19 00:00:00,1
gsep_035,psep_045,,1989-06-20 21:20:00,,,,,,,,,,,,,,,,,,,TRUE,,,1.11,0.62,0.38,0.24,31000,18000.0,11500.0,7010.0,1.41,1989-06-21 01:25:00,299469,,,,0,P,,,,,1989-06-20 09:20:00,1989-06-21 08:20:00,0
gsep_036,psep_046,,1989-06-29 04:45:00,,,,,,,,,,,,1989-06-29 02:54:00,1989-06-29 03:15:00,21,28,28,C7.3,5555,FALSE,,,4.79,,,,92400,,,,4.54,1989-06-29 09:45:00,739669,,,,0,P,,,,AR from LMSAL-HEK,1989-06-28 16:45:00,1989-06-29 15:35:00,0
gsep_037,psep_047,,1989-06-29 22:55:00,,,,,,,,,,,,1989-06-29 21:08:00,1989-06-29 21:18:00,10,44,28,M3.7,5555,FALSE,,,5.9,,,,196000,,,,3.03,1989-06-30 07:15:00,1020172,,,,0,S,,,,AR from LMSAL-HEK; Data corrected for spike,1989-06-29 10:55:00,1989-06-30 17:25:00,0
gsep_038,psep_048,,1989-06-30 20:20:00,,,,,,,,,,,,1989-06-30 17:36:00,1989-06-30 17:47:00,11,24,19,M2.1,5569,FALSE,,17,6.59,,,,295000,,,,6.14,1989-07-01 07:20:00,2387662,,,,1,P,,Spike,,AR from LMSAL-HEK; Data corrected for spike,1989-06-30 08:20:00,1989-07-01 21:20:00,0
gsep_039,psep_049,,1989-07-25 09:35:00,,,,,,,,,,,,1989-07-25 08:39:00,1989-07-25 08:43:00,4,84,25,X2.6,5603,FALSE,,54,31.11,14.71,7.08,3.61,1240000,467000.0,208000.0,102000.0,32.0,1989-07-25 12:20:00,11934182,,,,1,P,,,,AR from LMSAL-HEK,1989-07-24 21:35:00,1989-07-26 01:05:00,1
gsep_040,psep_050,,1989-08-12 16:20:00,,,,,,,,,,,,1989-08-12 13:57:00,1989-08-12 14:24:00,27,37,-16,X2.6,5629,FALSE,,9200,4749.12,999.31,137.96,21.66,330000000,49100000.0,5110000.0,704000.0,6550.0,1989-08-13 07:05:00,5563011006,,,,1,P,,,,AR from LMSAL-HEK,1989-08-12 04:20:00,1989-08-14 17:30:00,1
gsep_041,,,1989-08-15 06:30:00,,,,,,,,,,,,1989-08-15 01:42:00,1989-08-15 02:17:00,35,73,-16,X1.0,5629,FALSE,,,316,,,,,,,,938.0,1989-08-16 05:25:00,277116746,,,,0,P,,,,AR & Flare location from Kurt et al. (2004),1989-08-14 18:30:00,1989-08-16 05:25:00,1
gsep_042,psep_051,,1989-08-16 01:30:00,,,,,,,,,,,,1989-08-16 01:08:00,1989-08-16 01:17:00,9,84,-18,X20,5629,FALSE,,,1090.87,204.32,65.29,28.63,66600000,10800000.0,2630000.0,968000.0,1430.0,1989-08-16 14:25:00,1149785212,,,,0,P,,,,AR from LMSAL-HEK,1989-08-15 13:30:00,1989-08-17 07:00:00,1
gsep_043,psep_052,,1989-08-17 07:05:00,,,,,,,,,,,,1989-08-17 01:32:00,1989-08-17 01:35:00,3,88,-17,X2.9,5629,FALSE,,,755.27,143.04,26.45,6.69,40100000,6940000.0,1270000.0,330000.0,986.0,1989-08-17 09:45:00,641669043,,,,0,P,Taken by 6,,,AR from LMSAL-HEK,1989-08-16 19:05:00,1989-08-19 09:15:00,1
gsep_044,psep_053,,1989-08-19 19:25:00,,,,,,,,,,,,1989-08-19 19:11:00,1989-08-19 19:46:00,45,125,-18,,5645,FALSE,,,229.25,25.81,5.06,1.5,9390000,1250000.0,268000.0,86300.0,285.0,1989-08-20 01:55:00,130190490,,,,0,P,Taken by 6,,,AR & Flare location from Kurt et al. (2004),1989-08-19 07:25:00,1989-08-20 20:25:00,1
gsep_045,psep_054,,1989-08-22 09:10:00,,,,,,,,,,,,1989-08-22 02:05:00,1989-08-22 02:08:00,3,-25,-20,C3.4,5652,FALSE,,,21.7,2.75,0.69,0.3,4110000,725000.0,229000.0,105000.0,26.9,1989-08-23 20:25:00,39356063,,,,0,P,Taken by 6,,,AR from LMSAL-HEK,1989-08-21 21:10:00,1989-08-25 16:10:00,1
gsep_046,psep_055,,1989-08-31 14:15:00,,,,,,,,,,,,1989-08-31 09:32:00,1989-08-31 09:35:00,3,-58,-17,C3.7,5669,FALSE,,,3.91,,,,441000,,,,5.11,1989-09-01 06:40:00,3257094,,,,0,P,No meanigful ,,,AR from LMSAL-HEK,1989-08-31 02:15:00,1989-09-02 00:05:00,0
gsep_047,psep_056,,1989-09-04 03:05:00,,,,,,,,,,,,1989-09-03 14:28:00,1989-09-03 14:31:00,3,-16,-18,X1.2,5669,FALSE,,44,16.77,,,,1140000,,,,16.9,1989-09-04 09:20:00,9054497,,,,1,P,,Brief data gap,,AR from LMSAL-HEK; Data corrected for spike,1989-09-03 15:05:00,1989-09-05 02:10:00,1
gsep_048,psep_057,,1989-09-12 22:25:00,,,,,,,,,,,,1989-09-12 10:03:00,1989-09-12 10:09:00,6,-13,17,M7.3,5686,FALSE,,57,25.6,2.08,,,1560000,172000.0,,,32.5,1989-09-13 08:25:00,20238127,,,,1,P,,Brief data gap,,Flare data from LMSAL-HEK,1989-09-12 10:25:00,1989-09-13 23:30:00,1
gsep_048_1,,,1989-09-16 02:00:00,,,,,,,,,,,,1989-09-15 22:30:00,1989-09-15 23:48:00,18,23,23,M2.3,5687,FALSE,,,,,,,,,,,4.74,1989-09-16 13:50:00,1656446,,,,0,P,,,,Flare data from LMSAL-HEK,1989-09-15 14:00:00,1989-09-16 18:50:00,0
gsep_049,psep_058,,1989-09-29 12:00:00,,,,,,,,,,,,1989-09-29 10:00:00,1989-09-29 10:05:00,5,90,-32,X9.8,5698,FALSE,,4500,2434.72,864.37,340.86,148.18,255000000,71300000.0,22100000.0,8410000.0,2960.0,1989-09-30 02:10:00,3707494650,,,,1,P,Taken by 5,Brief data gap,,AR & Flare location from Kurt et al. (2004),1989-09-29 00:00:00,1989-10-01 12:50:00,1
gsep_050,,,1989-10-06 00:50:00,,,,,,,,,,,,1989-10-05 19:06:00,1989-10-05 19:13:00,7,-39,30,C3.2,5721,FALSE,,22,,,,,,,,,10.9,1989-10-06 08:25:00,5625273,,,,1,P,,,,AR from LMSAL-HEK; Data corrected for spike,1989-10-05 12:50:00,1989-10-06 21:40:00,1
gsep_051,psep_059,,1989-10-19 13:10:00,,,,,,,,,,,,1989-10-19 12:29:00,1989-10-19 12:39:00,10,-9,-25,X13,5747,FALSE,,40000,33667.42,4602.76,963.04,287.19,811000000,120000000.0,31300000.0,1760000.0,42200.0,1989-10-20 16:00:00,12070737249,,,,1,P,,,,AR & Flare location from Kurt et al. (2004),1989-10-19 01:10:00,1989-10-21 12:30:00,1
gsep_052,psep_060,,1989-10-22 16:30:00,,,,,,,,,,,,1989-10-22 15:54:00,1989-10-22 15:58:00,4,32,-27,M1.3,5747,FALSE,,,4071.13,805.69,218.41,121.08,278000000,56300000.0,14200000.0,4800000.0,5330.0,1989-10-23 07:15:00,4405390033,,,,0,P,Taken by 6,,,Flare data from LMSAL-HEK,1989-10-22 04:30:00,1989-10-24 17:30:00,1
gsep_053,psep_061,,1989-10-24 19:00:00,,,,,,,,,,,,1989-10-24 17:36:00,1989-10-24 17:48:00,12,57,-29,X3.7,5747,FALSE,,,1975.19,421.96,147.68,68.86,147000000,26100000.0,8380000.0,3690000.0,2530.0,1989-10-25 02:10:00,2182571231,,,,0,P,Taken by 6,,,AR & Flare location from Kurt et al. (2004),1989-10-24 07:00:00,1989-10-26 21:00:00,1
gsep_054,psep_062,,1989-10-29 06:20:00,,,,,,,,,,,,1989-10-29 02:21:00,1989-10-29 04:51:00,150,,,M4.0,,TRUE,,,23.47,7.14,3.01,1.38,1740000,587000.0,270000.0,133000.0,24.8,1989-10-29 09:50:00,14974954,,,,0,P,,,,Flare data from LMSAL-HEK; Over the limb event,1989-10-28 18:20:00,1989-10-30 15:10:00,1
gsep_055,psep_063,,1989-11-01 19:20:00,,,,,,,,,,,,1989-11-01 15:11:00,1989-11-01 15:14:00,3,-51,-17,C8.4,5772,FALSE,,,4.72,,,,1090000,,,,4.98,1989-11-02 23:10:00,7859300,,,,0,P,Taken by 4,,,AR from LMSAL-HEK,1989-11-01 07:20:00,1989-11-03 21:20:00,0
gsep_056,psep_064,,1989-11-06 18:45:00,,,,,,,,,,,,1989-11-06 13:43:00,1989-11-06 13:45:00,2,-19,20,M9.2,5776,FALSE,,,5.18,,,,577000,,,,5.66,1989-11-07 01:00:00,4157119,,,,0,P,Taken by 4,,,AR from LMSAL-HEK,1989-11-06 06:45:00,1989-11-07 19:45:00,0
gsep_057,psep_065,,1989-11-09 03:40:00,,,,,,,,,,,,1989-11-08 18:56:00,1989-11-08 19:02:00,6,57,20,M9.8,5769,FALSE,,43,14.24,,,,480000,,,,15.5,1989-11-09 04:45:00,4269123,,,,1,P,,,,AR from LMSAL-HEK,1989-11-08 15:40:00,1989-11-09 16:50:00,1
gsep_058,psep_066,,1989-11-15 07:55:00,,,,,,,,,,,,1989-11-15 06:38:00,1989-11-15 06:56:00,18,28,11,X3.2,5786,FALSE,,71,4.85,1.59,0.7,0.32,372000,111000.0,55700.0,30800.0,38.3,1989-11-15 09:05:00,10019896,,,,1,P,,,,AR & Flare location from Kurt et al. (2004),1989-11-14 19:55:00,1989-11-15 23:50:00,1
gsep_058_1,,,1989-11-20 03:00:00,,,,,,,,,,,,1989-11-20 00:35:00,1989-11-20 00:38:00,3,33,-27,M2.1,5793,FALSE,,,,,,,,,,,2.63,1989-11-20 05:35:00,520525,,,,0,P,,,,Flare data from LMSAL-HEK,1989-11-19 15:00:00,1989-11-20 15:30:00,0
gsep_059,psep_067,,1989-11-27 21:40:00,,,,,,,,,,,,1989-11-25 22:55:00,1989-11-25 23:24:00,29,-5,30,X1.0,5800,FALSE,,380,140.78,3.64,0.44,,4610000,205000.0,78100.0,,165.0,1989-11-28 11:05:00,56423582,,,,1,P,"Taken by 4,5",,,AR from LMSAL-HEK,1989-11-27 09:40:00,1989-11-29 06:00:00,1
